injury_texts,num_categories,injury_categories
"Disfigurement of Knee and Leg, Right Subclavian Central Line and Trachostomy",4,Joint;Leg;Clavicle;Trachea
"Pain in Leg and Buttocks, Increasing Pain, Numbness, and Headaches Due to Neck Injury",4,"Leg;Hip, Pelvis;Head, Skull;Neck or Back"
Drop Foot Condition,1,Foot
Leg,1,Leg
"Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin, Neck, Shoulder and Lower Back Pain",6,Burns;Hand;Leg;Stomach;Shoulder;Neck or Back
Shoulder Impingement Syndrome,1,Shoulder
Lower and Upper Respiratory Tract Injury,1,Trachea
"Moderate Muscular Injury to Neck and Shoulder, Right Subclavian Central Line and Trachostomy",4,Shoulder;Neck or Back;Clavicle;Trachea
"Cuts and Bruises to Neck, Back, Shoulders, and Arms, Non-displaced Fracture of the Radial Head of Right Arm",5,"Neck or Back;Shoulder;Arm;Hand;Head, Skull"
Cervical Strain Resulting in Surgery,1,Neck or Back
"Shooting Pain in Right Hand, Neck, Spine, and Dental Injuries",5,Hand;Gunshot;Spine;Neck or Back;Mouth or Teeth
usion with Strain to the Left Shoulder,1,Shoulder
Strained Wrist,1,Wrist
Restriction of Motion in Left Arm,1,Arm
Emotional Anguish,1,General Emotional Problems
"Partial Loss of Smell and Taste, Grade II Whiplash with Motor and Sensory Loss",4,Nose;Mouth or Teeth;Whiplash;Nerve System
Lumbar Sacral Pain,1,Neck or Back
"Wrongful Death and Survival Actions (not distinguished), Strain/Sprain to Knee and Sternum",4,Death;Survival Action;Joint;Sternum
"Injury to Right Knee and Back, Non-displaced Fracture of the Radial Head of Right Arm",4,"Joint;Neck or Back;Hand;Head, Skull"
Bilateral Carpal Tunnel Syndrome,1,Wrist
Cut on Head,1,"Head, Skull"
"Neck and Shoulder Injuries, Torn Cervical Muscle and Fibrosis",3,Shoulder;Neck or Back;Fibrosis
Mild Bulging Disc and Nerve Impingement at L4-5,1,Spine
Puncture of Area Below Eye,1,Eye
"Bruised Left Hip and Head, Broken Nose and Cheekbone",4,"Head, Skull;Hip, Pelvis;Nose;Face"
Loss of Future Earnings,1,Ear
"Kyphosis Which Causes Cervical Curving, Neck, Back, and Hip Pain",3,"Spine;Neck or Back;Hip, Pelvis"
"Mental and Physical Pain and Suffering from Dorsal Column Stimulator, Broken Nose and Cheekbone",4,Spine;General Emotional Problems;Nose;Face
"Third Degree Burns on Buttocks, Disfigurement of Knee and Leg",4,"Burns;Hip, Pelvis;Joint;Leg"
"Neck and Shoulder Stiffness, Torn Left Medial Meniscus and Mild Degenerative Joint Disease",4,Shoulder;Neck or Back;Spine;Joint
Disk Protrusion at L5-S1,1,Spine
"Head, Neck, Sternum, Jaw and Rib Pain, Moderate Muscular Injury to Neck and Shoulder",5,"Jaw;Head, Skull;Neck or Back;Ribs;Shoulder"
Fear,1,General Emotional Problems
"Contusions to Hip, Foot and Toe, Wrongful Death and Survival Actions (not distinguished)",4,"Foot;Hip, Pelvis;Survival Action;Death"
Lifelong Functional Disability,1,Disability
False Arrest,1,Legal Malpractice
Nose Injury,1,Nose
Shoulder and Knee Injury,2,Joint;Shoulder
Degenerative Changes in Cervical Spine,1,Spine
"Left Metatarsal Fractures, Left Ninth and Tenth Rib Fractures, Chest and Face Lacerations",4,Foot;Ribs;Face;Breast or Chest
"Bruised Lung, Kidney, and Liver, Cervical and Trapezius Muscle Sprain with Worsening of Pre-existing Sprains",5,Kidney;Lung;Liver;Neck or Back;Shoulder
"Shallower Lacerations up Back and Left Arm Pit, Weakness and Loss of Reflex in the Ankle and Foot",4,Neck or Back;Arm;Joint;Foot
Strained Right Knee,1,Joint
"Radiational Pain from Hip to Back, Stab Wounds to Back and Hand",3,"Neck or Back;Hip, Pelvis;Hand"
"Renal, Cardiac, and Pulmonary Contusions",3,Kidney;Heart;Lung
Pain in Both Knees,1,Joint
"Temporomandibular Joint Dysfunction (Jaw and Neck Pain), Hand, Elbow, and Knee Injuries",4,Jaw;Neck or Back;Hand;Joint
"Lower Back and Chest Pains, Pain in Chest, Shoulder, and Left Arm",4,Neck or Back;Breast or Chest;Arm;Shoulder
"Severe Injuries to Head and Face, Left Thigh and Knee Sprain/Contusion",4,"Face;Head, Skull;Joint;Leg"
"Burns on Scalp, Cervical and Lower Lumbar Pain",4,"Burns;Head, Skull;Neck or Back;Spine"
"Knee, Neck, Back, and Hand Injuries, Lumbosacral Sprain and Right Shoulder Sprain",5,Hand;Joint;Neck or Back;Shoulder;Spine
"Injuries to Shoulder, Clavicle, and Ribs, Knee, Neck and Back Injuries",4,Ribs;Shoulder;Neck or Back;Joint
Facial Lacerations and Bruises,1,Face
"Back and Left Leg Pain, Soft Tissue Injury to Knee and Back",3,Leg;Neck or Back;Joint
"Wrongful Death and Survival Actions (not distinguished), Aggravation of Temporal Mandibular Joint Dysfunction Causing Chronic Migraine Headaches",4,"Death;Survival Action;Jaw;Head, Skull"
Contusion of Left Posterior Shoulder Over the Scapula,1,Shoulder
Fractured Sternum,1,Sternum
Exacerbated Preexisting Ventral Hernia,1,Abdomen
Burns on Scalp,2,"Burns;Head, Skull"
Lumbar Injury at the L5-S1 Level,1,Neck or Back
Spent Three Weeks in Burn Unit,1,Burns
Non-displaced Fracture of the Radial Head of Right Arm,2,"Hand;Head, Skull"
"Neck, Shoulder and Lower Back Pain, Significant Pain in Left Arm, Shoulder and Hand",4,Shoulder;Neck or Back;Arm;Hand
"Bilateral Inflamation of Two Joints in Lower Back, Bulging Discs at the L4-5, T5-6, T6-7, and T7-8 Level, Laceration of Back and Arm",3,Neck or Back;Spine;Arm
"Back and Left Leg Pain, Right Knee Slip and Fall Injury",4,Leg;Neck or Back;Joint;Falling
Cirrhosis of the Liver,1,Liver
Early Menopause,1,Medical Malpractice
"Extensive Lacerations Over Back of Left Hip, Severe Nerve Damage in Arm and Shoulder",4,"Neck or Back;Hip, Pelvis;Arm;Shoulder"
Tenderness and Sensitivity in the Neck,1,Neck or Back
"Burns to Torso and Leg, Numbness in Right Arm, Hand and Leg",6,Leg;Breast or Chest;Neck or Back;Abdomen;Arm;Hand
Dyspnea,1,Lung
Fibromyalgia,1,Fibromyalgia
Ribs,1,Ribs
Insomnia,1,Sleeping Disorder
Disc Dehydration and Degeneration,1,Spine
Atrial Fibrillation,1,Heart
Wrist Sprain,1,Wrist
"Knee and Shoulder Pain, Cervical Injury (Whip Lash)",4,Joint;Shoulder;Whiplash;Neck or Back
Unspecified Back and Neck Injuries,1,Neck or Back
"Injury to Right Knee and Back, Lumbosacral Sprain and Right Shoulder Sprain",4,Joint;Neck or Back;Shoulder;Spine
"Chronic Radiculopathy Syndrome, Forearm, Neck, and Shoulder Injuries",4,Neck or Back;Nerve System;Shoulder;Arm
Sleep Loss,1,Sleeping Disorder
"Numbness and Pain in Right Arm and Lower Extremities, Symptomatic Left Knee Lumbar Syndrome",4,Arm;Leg;Joint;Spine
"Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip, Neck, Chest, and Wrist Pain",6,Shoulder;Mouth or Teeth;Arm;Breast or Chest;Neck or Back;Wrist
"Fractures of Humerus, Wrist, and Ankle, Neck, Chest, and Wrist Pain",5,Joint;Arm;Wrist;Neck or Back;Breast or Chest
"Left Distal Tibia and Fibula Fractures, Invasion of Privacy and Dignity",4,"Leg;Joint;Invasion of Privacy;Defamation, Libel, Slander"
"Soft Tissue Injury to Knee and Back, Aggravation of Pre-Existing Knee and Wrist Injury",3,Joint;Neck or Back;Wrist
Injured Left Hip Socket Joint,1,"Hip, Pelvis"
"Nose, Lip, Temple, and Neck Injuries, Partial Loss of Smell and Taste",4,"Nose;Mouth or Teeth;Head, Skull;Neck or Back"
"Rib Fracture Leading to Pneumonia, Abrasions to Knees, Arms, Neck, and Face",5,Ribs;Lung;Arm;Neck or Back;Joint
Herniated Cervical Disc at C5,1,Spine
"Cervical and Trapezius Muscle Sprain with Worsening of Pre-existing Sprains, Amputation of Two Fingers on Right Hand",4,Neck or Back;Shoulder;Finger;Hand
"Gunshot Injury to Stomach, Back and Head Lacerations",4,"Gunshot;Stomach;Neck or Back;Head, Skull"
Multiple Lacerations of Legs,1,Leg
Grade II Whiplash with Motor and Sensory Loss,2,Whiplash;Nerve System
"Loss of Almost All Usage of Right Arm, Hand, Leg",3,Arm;Hand;Leg
Four Fractured Ribs,1,Ribs
Restricted Neck Motion,1,Neck or Back
"Anterior Contusions of the Knee and Legs, Permanent Paralysis From the Waist Down",4,Joint;Leg;Paralysis;Neck or Back
"Arm and Shoulder Pain, Joint Injury between Hand and Wrist",4,Arm;Shoulder;Hand;Wrist
Cervical Spondylosis,1,Neck or Back
"Head and Shoulder Injury, Closed-Head Injury with Permanent Cognitive Dysfunction",3,"Shoulder;Head, Skull;Cognitive Problem"
Nerve Root Impingement on Left S1 Nerve Root,1,Nerve System
Muscle Contraction Headaches,1,"Head, Skull"
"Neck and Head Injuries, Windshield Glass Embedded in Forehead and Arm",3,"Neck or Back;Head, Skull;Arm"
"Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin, Neck and Hand Sprain",5,Burns;Hand;Leg;Stomach;Neck or Back
"Extensive Lacerations Over Back of Left Hip, Injuries to Calf, Knee, and Elbow",4,"Neck or Back;Hip, Pelvis;Joint;Leg"
Psychological Pain,1,Psychological Abuse
Acute Chronic Ischemia of Right Foot,1,Foot
Damage to Teeth,1,Mouth or Teeth
"Soft Tissue Injury to Trapezius Muscle, Torn Left Medial Meniscus and Mild Degenerative Joint Disease",4,Soft Tissue;Shoulder;Spine;Joint
Cervical Lumbrosacral Strain,1,Neck or Back
"Shoulder, Head, and Neck Pain, Non-displaced Fracture of the Radial Head of Right Arm",4,"Shoulder;Head, Skull;Neck or Back;Hand"
Incontinence,1,Ureter or Urethra
"Lumbar Strain With Nerve Root Irritation, Peroneal Palsy/Nerve Damage Sustained During Surgery",3,Neck or Back;Nerve System;Leg
"Glass Embedded in Cheek and Eye, Injuries to Neck and Shoulder in the Form of a Calcified Herniation at the C3-4 Level with Impingement on Spinal Cord",5,Eye;Face;Neck or Back;Shoulder;Spine
Uncontrollable Crying Episodes,1,Depression
Permanent Partial Disability in Right Leg,1,Leg
"Reflex Sympathetic Dystrophy in Arm and Hand, Permanent Scarring on Face, Abdomen, Leg, Thigh, Buttocks and Back",7,"Arm;Hand;Face;Abdomen;Leg;Neck or Back;Hip, Pelvis"
Partial Loss of Smell and Taste,2,Nose;Mouth or Teeth
"Pain in Left Ear, Shoulder, and Ankle, Injuries to Left Rib and Left Knee",3,Joint;Ear;Ribs
"Permanent Impairment of Fine Motor Skills, Left Hand, Contusions on Right Hand, Right Knee, Right Chest Wall, and Left Jaw",5,Eye;Hand;Joint;Breast or Chest;Jaw
"Back Pain Radiating Down Right Leg, Strain/Sprain to Knee and Sternum",4,Leg;Neck or Back;Joint;Sternum
Ruptured Disc at L5-S1,1,Spine
Forearm Bruising,1,Arm
"Injuries to Left Eye, Nose, and Thumb, Neck, Shoulder, Head, and Back Pain",6,"Eye;Nose;Finger;Neck or Back;Shoulder;Head, Skull"
Rib Fracture,1,Ribs
Nervous Shock and Chronic Vomiting,1,Vertigo or Nausea
"Hip and Leg Contusions, Fractured Skull and Pelvis",3,"Leg;Hip, Pelvis;Head, Skull"
"Wrongful Death and Survival Actions (not distinguished), Burns to Back and Arm",4,Survival Action;Death;Arm;Neck or Back
Multiple Liver Lacerations,1,Liver
Post-Traumatic Headaches,1,"Head, Skull"
Fractured Left Arm,1,Arm
Beating,1,Unspecified
First and Second Degree Burns,1,Burns
"Injuries to Left Eye, Nose, and Thumb, Shoulder and Knee Injury",5,Eye;Nose;Finger;Joint;Shoulder
Subconjunctival Hemorrhage,1,Brain
Multiple Orthopedic Surgeries,1,Unspecified Bone Injuries
"Injuries to Left Arm and Shoulder, Injury to Thumb, Knees, and Thigh",5,Arm;Shoulder;Joint;Wrist;Leg
Obsessive-Compulsive Personality Disorder Which Aggravated Injuries,1,Cognitive Problem
"Pyorrhea (Gum Disease), Ulnar Nerve Irritation Causing Numbness in Three Fingers",4,Mouth or Teeth;Jaw;Wrist;Finger
Oral Injuries,1,Mouth or Teeth
"Injury to Thumb, Knees, and Thigh, Back, Neck, and Hand Injuries",5,Joint;Finger;Leg;Hand;Neck or Back
Burns to Hand and Feet,2,Hand;Foot
Contusion on Knee,1,Joint
"Sharp Pain and Stiffness in Neck Resulting from Low-Impact Vehicle Collision, Neck, Chest, and Wrist Pain",4,Neck or Back;Automobile Accident;Breast or Chest;Wrist
Fractured Right Hip,1,"Hip, Pelvis"
"Bruised Lung, Kidney, and Liver, Neck and Lower Back Injuries",5,Kidney;Lung;Liver;Neck or Back
Several Fractured Ribs,1,Ribs
Rib Fractures,1,Ribs
Wrongful Death of Child,1,Death
"Annular Tear at the L5-S1 level in Back, Neck, Chest, and Wrist Pain",4,Spine;Neck or Back;Wrist;Breast or Chest
"Head, Neck, Sternum, Jaw and Rib Pain, Contusions of Right Knee and Chest Wall",6,"Jaw;Head, Skull;Neck or Back;Ribs;Joint;Breast or Chest"
Left Thigh and Knee Sprain/Contusion,2,Joint;Leg
Cervical Injuries,1,Neck or Back
Lower Back Pain,1,Neck or Back
Multiple Facial Fractures,1,Face
"Temporomandibular Joint Dysfunction and Arthritis, Neck and Head Injuries",4,"Arthritis;Jaw;Neck or Back;Head, Skull"
"Concussion and Fracture of Frontal Sinus, Multiple Lacerations on Forehead, Chin, and Lip",4,"Brain;Head, Skull;Face;Lip"
"Injuries to Right Knee and Lower Back, Burned Right Arm",4,Neck or Back;Joint;Arm;Burns
Hole in Pelvic Bone,1,"Hip, Pelvis"
"Knee, Neck, Back, and Hand Injuries, Windshield Glass Embedded in Forehead and Arm",5,"Hand;Joint;Neck or Back;Arm;Head, Skull"
"Soft Tissue Injury to Knee and Back, Injuries to Right Knee and Lower Back",2,Joint;Neck or Back
"Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin, Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin",5,Burns;Hand;Stomach;Leg;Abdomen
Vertigo,1,Vertigo or Nausea
Face and Eye Contusions,2,Eye;Face
Arthroscopic Surgery,1,Joint
"Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip, Severely Lacerated Foot and Accompanying Infection",5,Shoulder;Mouth or Teeth;Arm;Foot;Infection
Aggravation of Pre-Existing Knee and Wrist Injury,2,Joint;Wrist
Fractures of Distal radius and Scaphoid Bone,1,Wrist
Survival Damages,1,Other Damages
"Permanent Paralysis From the Waist Down, Injuries to Calf, Knee, and Elbow",4,Paralysis;Neck or Back;Joint;Leg
Neck Pain,1,Neck or Back
"Pain in Chest, Shoulder, and Left Arm, Lunatrotriquetral Ligament Tear With Clinical Ulnar Nerve Entrapment at Guyon's Canal",6,Arm;Breast or Chest;Shoulder;Nerve System;Hand;Wrist
Broken Nose and Cheekbone,2,Nose;Face
"Survival and Wrongful Death Action, Dog Bite (Arm)",4,Survival Action;Death;Arm;Single Wound
Unspecified Injuries,1,Unspecified
Cervical and Lumbar Strain,1,Neck or Back
"Knee and Back Pain, Shallower Lacerations up Back and Left Arm Pit",3,Joint;Neck or Back;Arm
"Lacerations of the Eye and Face, Flare up of Pain in Neck and Testicles",4,Eye;Face;Neck or Back;Organs of Reproduction
"Hip and Leg Contusions, Lumbosacral, Possible Nerve Root Compression and Paresthesias of the Upper Left Extremity",5,"Leg;Hip, Pelvis;Spine;Nerve System;Arm"
Severe Neck Pain,1,Neck or Back
Back Strain,1,Neck or Back
"Stomach and Back Injuries, Gunshot Wound to the Heel",4,Stomach;Neck or Back;Gunshot;Foot
Lower Back Injury,1,Neck or Back
"Soft Tissue Injuries of the Neck and Chest, Musculoligamentous Strains of the Neck and Shoulder",3,Neck or Back;Breast or Chest;Shoulder
"Burns to Back and Arm, Neck and Shoulder Scar Tissue",3,Arm;Neck or Back;Shoulder
Small Degenerative Tear in Lateral Meniscus,1,Joint
Allegedly Sexually Touched Child,1,Harassment
Degenerative Changes in the Lateral Tibial Plateau,1,Leg
Sepsis Infection,1,Sexually Transmitted Infection
"Neck, Chest, and Wrist Pain, Joint Injury between Hand and Wrist",4,Breast or Chest;Neck or Back;Wrist;Hand
"Left Distal Tibia and Fibula Fractures, Head and Shoulder Injury",4,"Leg;Joint;Shoulder;Head, Skull"
"Tenderness Between Ribs and Lower Spine, Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip",5,Ribs;Spine;Shoulder;Mouth or Teeth;Arm
"Neck, Arm, and Hand Pain, Back Pain Traveling Down Leg",4,Arm;Hand;Neck or Back;Leg
Knee and Back Pain,2,Joint;Neck or Back
Ranioplasty,1,"Head, Skull"
"Chronic Neck, Back, and Shoulder Pain, Broken Teeth and Exposed Nerves",4,Shoulder;Neck or Back;Mouth or Teeth;Nerve System
"Cervical Strain With Nerve Root Irritation, Back Pain from Kidneys",3,Neck or Back;Nerve System;Kidney
"Annular Tear at the L5-S1 level in Back, Muscle and Ligament Strain",4,Spine;Neck or Back;Unspecified Muscle Injuries;Joint
"Limited Mobility in Fingers and Knee, Soft Tissue Injuries of the Neck and Chest",4,Finger;Joint;Neck or Back;Breast or Chest
Upper Back Pain,1,Neck or Back
Dislocated and Fractured Pelvis,1,"Hip, Pelvis"
"Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip, Injuries to Shoulder, Clavicle, and Ribs",5,Arm;Shoulder;Lip;Ribs;Neck or Back
"Muscle and Ligament Strain, Tingling in Neck and Left Shoulder",4,Unspecified Muscle Injuries;Joint;Neck or Back;Shoulder
Divorce Resulting from Psychological Trauma,1,General Emotional Problems
"Cervical and Lumbar Sprain/Strain, Injuries to Neck, Back, and Arm",3,Neck or Back;Spine;Arm
"Soft Tissue Injury to Trapezius Muscle, Partial Loss of Smell and Taste",4,Soft Tissue;Shoulder;Nose;Mouth or Teeth
"Shoulder, Head, and Neck Pain, Soft Tissue Injury to Trapezius Muscle",4,"Shoulder;Head, Skull;Neck or Back;Soft Tissue"
"""Blow Holes"" on Side of Large Toes",1,Foot
"Partial Loss of Smell and Taste, Left Distal Tibia and Fibula Fractures",4,Nose;Mouth or Teeth;Leg;Joint
Hearing Loss,1,Ear
Contusions of the Elbow,1,Joint
"Neck and Hand Sprain, Pain in Left Ear, Shoulder, and Ankle",4,Hand;Neck or Back;Joint;Ear
"Temporomandibular Joint Dysfunction and Arthritis, Contusions to the Head and Thigh",4,"Arthritis;Jaw;Head, Skull;Leg"
"Burn to Left Eye, Pain in Lower Back and Left Shoulder",4,Eye;Burns;Shoulder;Neck or Back
"Fractured Skull and Pelvis, Injuries to Left Rib and Left Knee",4,"Head, Skull;Hip, Pelvis;Joint;Ribs"
"Dog Bite (Arm), Pyorrhea (Gum Disease)",4,Arm;Single Wound;Mouth or Teeth;Jaw
Fractured Right Humerus,1,Arm
Head Pain,1,"Head, Skull"
"Strain/Sprain to Knee and Sternum, Soft Tissue Injury to Thighs",4,Joint;Sternum;Leg;Soft Tissue
"Hand, Wrist, Shoulder and Back Injury, Including Carpel Tunnel Syndrome, Chest and Face Lacerations",6,Hand;Wrist;Shoulder;Neck or Back;Face;Breast or Chest
Physical Disability,1,Disability
"Aggravation of Existing Neck Stiffness and Right Shoulder Pain, Fractures to Fibula, Medial Malleolus and Tibula",4,Shoulder;Neck or Back;Joint;Leg
"Shoulder, Head, and Neck Pain, Torn Cervical Muscle and Fibrosis",4,"Shoulder;Head, Skull;Neck or Back;Fibrosis"
"Neck, Arm, and Hand Pain, Partial Paralysis of Upper Lip",5,Arm;Hand;Neck or Back;Paralysis;Mouth or Teeth
"Arm and Shoulder Pain, Glass Embedded in Cheek and Eye",4,Arm;Shoulder;Eye;Face
"Fractures to Fibula, Medial Malleolus and Tibula, Cuts and Bruises to Hands, Legs, and Elbow",3,Joint;Leg;Hand
Burns on 30-35% of Total Body,1,Burns
"Permanent Paralysis From the Waist Down, Shooting Pain in Right Hand",4,Paralysis;Neck or Back;Hand;Gunshot
"Injuries to Left Eye, Nose, and Thumb, Injuries to Neck, Back, and Arm",5,Eye;Nose;Finger;Arm;Neck or Back
Skull Fracture,1,"Head, Skull"
Thoracic Outlet Syndrome,1,Neck or Back
"Broken Small Finger, Thumb, and Nose, Prolonged Injury to Right Foot and Ankle",4,Finger;Nose;Joint;Foot
Pelvic Bone Fractures on Pelvic Ramus (superior and interior part in two locations on both sides),1,"Hip, Pelvis"
Headache,1,"Head, Skull"
"Contusions to the Head and Thigh, Arm and Shoulder Injury",4,"Head, Skull;Leg;Arm;Shoulder"
Protrusions of Cervical Discs at the C4-5 and C5-6 Levels,1,Spine
Bilateral Slippage of the L-5 Vertebral Body,1,Spine
"Increasing Pain, Numbness, and Headaches Due to Neck Injury",2,"Head, Skull;Neck or Back"
False Imprisonment,1,Legal Malpractice
Partial Leg Amputation,1,Leg
"Injuries to Calf, Knee, and Elbow, Loss of Almost All Usage of Right Arm, Hand, Leg",4,Joint;Leg;Arm;Hand
Temporomandibular Joint Dysfunction,1,Jaw
"Arm and Shoulder Injury, Ulnar Nerve Irritation Causing Numbness in Three Fingers",4,Arm;Shoulder;Wrist;Finger
Limitation in Range of Shoulder Movement,1,Shoulder
Fracture of Right Heel Bone,1,Foot
"Broken Teeth and Exposed Nerves, Chronic Radiculopathy Syndrome",3,Mouth or Teeth;Nerve System;Neck or Back
"Neck, Chest, and Wrist Pain, Shoulder, Head, and Neck Pain",5,"Wrist;Neck or Back;Breast or Chest;Shoulder;Head, Skull"
Bulging in Cervical and Lumbar Discs,1,Spine
"Contusions on Right Hand, Right Knee, Right Chest Wall, and Left Jaw, Injury to Knee and Wrist",5,Hand;Joint;Breast or Chest;Jaw;Wrist
Post Traumatic Stress Syndrome,1,Post Traumatic Stress Syndrome
"Shoulder and Thoracic Strain, Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip",4,Shoulder;Neck or Back;Arm;Lip
Left and Right Rib Fractures,1,Ribs
"Renal, Cardiac, and Pulmonary Contusions, Fractures to Fibula, Medial Malleolus and Tibula",5,Kidney;Heart;Lung;Joint;Leg
"Unspecified Cervical and Lumbar Injuries, Permanent Disfigurement and Disability",4,Neck or Back;Spine;Disability;Skin
Kidnapping,1,Kidnapping
Burned Right Arm,2,Arm;Burns
Dislocated Hip,1,"Hip, Pelvis"
"Cervical and Trapezius Muscle Sprain with Worsening of Preexisting Sprains, Heart Complications-Survival Action",4,Neck or Back;Shoulder;Heart;Survival Action
"Wrist and Hand Injuries, Contusions on Hip, Back, and Leg",5,"Hand;Wrist;Leg;Neck or Back;Hip, Pelvis"
"Stab Wounds to Back and Hand, Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip",5,Hand;Neck or Back;Shoulder;Mouth or Teeth;Arm
"Burns and Permanent Skin Discoloration on Hand, Stomach, Legs and Groin, Unspecified Injury to Chest and Back",7,Burns;Hand;Stomach;Leg;Abdomen;Neck or Back;Breast or Chest
Aggravation of Pre-Existing Cervical Strain,1,Neck or Back
"Electrical Burns on Left Hand, Injuries to Gum and Lip",4,Hand;Burns;Lip;Mouth or Teeth
Severed Left Foot,1,Foot
"Tenderness Between Ribs and Lower Spine, Severe Pain in Neck, Back, and Shoulders",4,Ribs;Spine;Shoulder;Neck or Back
"Neck and Shoulder Pain, Non-displaced Fracture of the Radial Head of Right Arm",4,"Shoulder;Neck or Back;Hand;Head, Skull"
"Pain in Leg and Buttocks, Neck and Head Injuries",4,"Leg;Hip, Pelvis;Neck or Back;Head, Skull"
"Injuries to Hands and Fingers, Permanent Scarring on Face, Abdomen, Leg, Thigh, Buttocks and Back",7,"Finger;Hand;Face;Abdomen;Leg;Neck or Back;Hip, Pelvis"
"Injury to Head, Neck, and Thumb, Cervical and Lower Lumbar Pain",4,"Neck or Back;Head, Skull;Finger;Spine"
Trimallcolar Ankle Fracture,1,Joint
"Severe Allergic Reaction Causing Vomiting, Insomnia, and a Rash that Itched and Developed into Whelps",4,Allergy;Vertigo or Nausea;Sleeping Disorder;Common Disease
"Cervical Myofascial Pain on the Right Side, Arm and Shoulder Pain",4,Neck or Back;Myofascial Pain Syndrome;Arm;Shoulder
Emotional and Physical Distress,1,General Emotional Problems
Bilateral Arm Contusion,1,Arm
"Broken Arm and Wrist, Invasion of Privacy and Dignity",4,"Arm;Wrist;Invasion of Privacy;Defamation, Libel, Slander"
"Back Pain Radiating Down Right Leg, Neck and Lower Back Injuries",3,Leg;Neck or Back;Back
Scar,1,Skin
"Hand, Elbow, and Knee Injuries, Burns to Hand and Feet",3,Hand;Joint;Foot
"Leg and Ankle Numbness, Loss of Taste and Smell",4,Joint;Leg;Nose;Mouth or Teeth
"Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip, Kyphosis Which Causes Cervical Curving",5,Arm;Shoulder;Lip;Spine;Neck or Back
Superficial Abrasions to Side of Face,1,Face
"Multiple Lacerations and Abrasions on Left Shoulder and Arm and Around the Lower Lip, Compensatory Left Sacroiliac Joint Dysfunction With Sciatic Nerve Radiculopathy",5,Arm;Shoulder;Lip;Neck or Back;Nerve System
Permanent Disability,1,Disability
Contusions of Right Knee and Chest Wall,2,Joint;Breast or Chest
Bilateral Thoracic Outlet Syndrome,1,Breast or Chest
Fractured Hard Palate in Mouth,1,Mouth or Teeth
Bruised Chest,1,Breast or Chest
"Chest and Face Lacerations, Tingling in Neck and Left Shoulder",4,Face;Breast or Chest;Neck or Back;Shoulder
"Injuries to Calf, Knee, and Elbow, Shoulder and Thoracic Strain",4,Joint;Leg;Shoulder;Neck or Back
Fibrotic Muscle Changes,1,Unspecified Muscle Injuries
"Broken Nose and Cheekbone, Soft Tissue Injury to Neck and Shoulders",5,Nose;Face;Shoulder;Neck or Back;Soft Tissue
"Knee and Shoulder Pain, Lacerations of the Eye and Face",4,Joint;Shoulder;Eye;Face
Attention and Concentration Deficit,1,Cognitive Problem
"Bruised Foot and Knee, Pain in Left Ear, Shoulder, and Ankle",3,Foot;Joint;Ear
Shoulder Condition,1,Shoulder
Abrasion of the Left Scalp,1,"Head, Skull"
Numbness in Left Arm,1,Arm
Seizures,1,Severe Disease
Injury to Knee and Wrist,2,Joint;Wrist
Memory Loss,1,Cognitive Problem
Cervical Surgery,1,Neck or Back
"Hand, Wrist, Shoulder and Back Injury, Including Carpel Tunnel Syndrome, Knee and Back Pain",5,Hand;Wrist;Shoulder;Neck or Back;Joint
Left Ankle Jerk,1,Joint
Bilateral Shoulder Strain,1,Shoulder
Arm Fracture,1,Arm
"Hand, Wrist, Shoulder and Back Injury, Including Carpel Tunnel Syndrome",4,Hand;Wrist;Shoulder;Neck or Back
Physical and Emotional Pain,1,General Emotional Problems
"Injuries to Gum and Lip, Burns to Hand and Feet",4,Lip;Mouth or Teeth;Hand;Foot
"Aggravation of Pre-Existing Neck Arthritis, Right Arm and Shoulder Pain",4,Arthritis;Neck or Back;Arm;Shoulder
"Contusions on Right Hand, Right Knee, Right Chest Wall, and Left Jaw, Unspecified Injury to Chest and Back",5,Hand;Joint;Breast or Chest;Jaw;Neck or Back
"Right Knee Slip and Fall Injury, Neck, Arm, Shoulder, and Leg Pain",6,Joint;Falling;Arm;Neck or Back;Leg;Shoulder
Nasal Pyramid,1,Nose
"Bilateral Inflamation of Two Joints in Lower Back, Bulging Discs at the L4-5, T5-6, T6-7, and T7-8 Level, Partial Loss of Smell and Taste",4,Neck or Back;Spine;Nose;Mouth or Teeth
"Severe Allergic Reaction Causing Vomiting, Insomnia, and a Rash that Itched and Developed into Whelps, Limited Mobility in Fingers and Knee",6,Allergy;Vertigo or Nausea;Sleeping Disorder;Common Disease;Finger;Joint
Tracheotomy,1,Trachea
Lacerated Small Bowel Mesentery,1,Intestine
